Word;Documents
DOWNHILL;['00703', '01000']
HEPARINCONTAINING;['00868']
UTILIZED;['00081', '00162', '00254', '00302', '00315', '00315', '00515', '00521', '00531', '00541', '00746', '00907']
MANIFESTATION;['00319', '00322', '00322', '00333', '00485', '00661', '00776', '00872', '00980', '01066', '01108', '01216']
PLATES;['00260']
REPORTS;['00003', '00012', '00039', '00052', '00097', '00097', '00101', '00113', '00140', '00141', '00205', '00213', '00272', '00284', '00287', '00312', '00313', '00322', '00363', '00402', '00451', '00478', '00503', '00531', '00534', '00553', '00615', '00636', '00648', '00657', '00704', '00782', '00962', '00981', '00997', '01140', '01175', '01185', '01215']
CILIOSTATIC;['00302', '00535', '00535', '00535', '00562', '00950', '00950', '00950', '01092', '01092', '01092']
ASYMPTOMATIC;['00069', '00611', '00611', '00814', '00866']
CILIA;['00201', '00201', '00201', '00201', '00201', '00254', '00281', '00281', '00281', '00325', '00434', '00481', '00501', '00511', '00531', '00531', '00532', '00532', '00564', '00564', '00646', '00969', '00969', '00969', '00969', '01079', '01079', '01079', '01079', '01092', '01194', '01194', '01208']
REPLACED;['00179', '00202', '01071']
PMETHOXYPHENYLPYRUVIC;['00070']
DISTANCE;['00664', '00664']
CFFLIKE;['00235']
FIRSTPASS;['01041', '01041']
TECHNIQUE;['00035', '00035', '00067', '00077', '00077', '00083', '00125', '00144', '00155', '00158', '00169', '00173', '00175', '00175', '00175', '00175', '00216', '00217', '00254', '00258', '00277', '00289', '00289', '00289', '00293', '00302', '00341', '00344', '00344', '00346', '00348', '00378', '00378', '00379', '00379', '00388', '00393', '00414', '00447', '00491', '00502', '00515', '00532', '00546', '00560', '00561', '00575', '00597', '00658', '00660', '00676', '00707', '00740', '00740', '00746', '00746', '00750', '00754', '00884', '00885', '00907', '00927', '00929', '00954', '00987', '01027', '01035', '01035', '01035', '01041', '01107', '01131', '01142', '01146', '01151', '01220', '01220', '01220']
ELEVATED;['00001', '00011', '00018', '00024', '00040', '00055', '00055', '00055', '00059', '00080', '00096', '00102', '00102', '00102', '00139', '00139', '00181', '00229', '00230', '00234', '00234', '00252', '00263', '00297', '00311', '00313', '00314', '00314', '00320', '00356', '00375', '00375', '00392', '00402', '00408', '00415', '00416', '00421', '00423', '00430', '00431', '00436', '00441', '00458', '00470', '00486', '00486', '00522', '00524', '00524', '00526', '00553', '00559', '00568', '00588', '00611', '00619', '00623', '00631', '00631', '00631', '00657', '00742', '00742', '00742', '00763', '00781', '00781', '00781', '00830', '00848', '00863', '00875', '00881', '00956', '00981', '01000', '01028', '01046', '01046', '01047', '01057', '01058', '01075', '01085', '01105', '01178', '01178', '01183', '01198']
INTERNIST;['00146', '00866']
COUPLED;['00301', '00336', '00757', '00892', '01167']
SCHWARZ;['00520', '00811']
EXHAUSTION;['00808']
REMOVING;['00980', '01149']
DOUBTFUL;['00120', '00244', '00246']
RIVERS;['00290']
CYCLOLEUCINE;['00466']
INSTRUCTED;['00879']
COMPREHEND;['00949']
NINETEEN;['00989', '01125']
WITHER;['01194']
PROVIDED;['00104', '00112', '00172', '00263', '00279', '00334', '00565', '00616', '00626', '00676', '00699', '00722', '00749', '00749', '00775', '00911', '00911', '00968', '00994', '01024', '01067', '01144']
SUBSTANTIATED;['00981']
SMAJE;['01121']
THYMUSDERIVED;['00006']
HYPONATRAEMIC;['00395']
ELABORATED;['00562', '00584']
NONDIALYZEABLE;['00563']
GENITAL;['00345', '00875', '01192']
CLEARING;['00133', '00323', '00326']
INACTIVE;['00122', '00572', '00572']
SETTLERS;['00342']
CONTRACEPTION;['00015']
TBIG;['01205']
FATIGUED;['00606']
EASIER;['00331', '00954', '01235']
RESPONDENT;['01083']
MONOMERIC;['00162']
WALL;['00081', '00172', '00597', '00653', '00986', '01043', '01043', '01043', '01047']
FOOD;['00021', '00034', '00034', '00153', '00220', '00394', '00449', '00449', '00709', '00791', '00860', '00860', '00872', '00933']
TURN;['00126', '00540', '00748']
BONES;['00183', '00579']
CURRENCY;['00617']
VITAMINS;['00212', '00414', '00443', '00878', '00970', '00970', '01106', '01108', '01115', '01115', '01115', '01155']
TESTS;['00004', '00011', '00024', '00048', '00069', '00088', '00090', '00098', '00111', '00111', '00131', '00144', '00152', '00155', '00174', '00174', '00175', '00192', '00204', '00207', '00210', '00211', '00211', '00211', '00225', '00228', '00228', '00228', '00235', '00242', '00242', '00242', '00254', '00258', '00260', '00268', '00314', '00314', '00317', '00317', '00318', '00323', '00341', '00341', '00341', '00358', '00358', '00358', '00379', '00387', '00387', '00387', '00403', '00403', '00403', '00404', '00404', '00404', '00404', '00404', '00414', '00457', '00465', '00482', '00482', '00482', '00482', '00483', '00485', '00488', '00491', '00543', '00600', '00612', '00612', '00627', '00629', '00632', '00643', '00643', '00653', '00657', '00706', '00713', '00717', '00719', '00719', '00719', '00736', '00746', '00791', '00798', '00798', '00802', '00802', '00802', '00803', '00811', '00812', '00818', '00819', '00819', '00821', '00821', '00825', '00833', '00835', '00846', '00846', '00877', '00896', '00904', '00916', '00916', '00916', '00920', '00920', '00920', '00943', '00943', '00964', '00995', '00995', '01005', '01014', '01014', '01039', '01047', '01048', '01061', '01071', '01073', '01078', '01080', '01081', '01112', '01113', '01122', '01128', '01134', '01134', '01134', '01149', '01149', '01162', '01169', '01169', '01174', '01186', '01214', '01234', '01234', '01237', '01237', '01237', '01237']
MONOMERS;['00675', '00675']
FELL;['00137', '00219', '00246', '00324', '00743', '00885', '01010', '01110']
FUNCTION;['00020', '00024', '00024', '00038', '00041', '00050', '00064', '00064', '00064', '00087', '00090', '00092', '00096', '00098', '00134', '00140', '00150', '00150', '00150', '00155', '00155', '00163', '00163', '00163', '00174', '00192', '00197', '00197', '00204', '00241', '00242', '00242', '00242', '00246', '00258', '00258', '00295', '00295', '00308', '00308', '00314', '00314', '00323', '00323', '00337', '00368', '00368', '00368', '00370', '00372', '00372', '00372', '00372', '00388', '00397', '00422', '00437', '00437', '00440', '00443', '00446', '00452', '00467', '00473', '00480', '00484', '00484', '00490', '00504', '00508', '00526', '00532', '00543', '00543', '00543', '00546', '00546', '00546', '00546', '00546', '00556', '00566', '00575', '00581', '00581', '00584', '00592', '00606', '00613', '00613', '00629', '00629', '00642', '00643', '00643', '00653', '00655', '00660', '00689', '00697', '00699', '00699', '00719', '00719', '00736', '00736', '00778', '00778', '00791', '00791', '00791', '00791', '00791', '00798', '00798', '00803', '00809', '00814', '00814', '00815', '00821', '00842', '00885', '00885', '00886', '00896', '00897', '00899', '00904', '00906', '00907', '00913', '00920', '00920', '00928', '00950', '00952', '00956', '00956', '00959', '00959', '00959', '00964', '00969', '00980', '00994', '00994', '01003', '01003', '01003', '01006', '01008', '01038', '01038', '01038', '01038', '01041', '01045', '01047', '01047', '01047', '01047', '01062', '01067', '01071', '01071', '01073', '01073', '01074', '01075', '01077', '01078', '01081', '01081', '01084', '01110', '01110', '01112', '01149', '01149', '01151', '01151', '01151', '01151', '01151', '01151', '01151', '01156', '01159', '01162', '01162', '01165', '01165', '01172', '01195', '01197', '01197', '01206', '01206', '01212', '01214', '01234', '01234']
DIABETES;['00057', '00069', '00136', '00153', '00209', '00296', '00301', '00317', '00332', '00416', '00416', '00416', '00443', '00509', '00550', '00652', '00719', '00770', '00931', '00978', '00978', '01008', '01031', '01076', '01085', '01088']
DISTENSION;['00037', '00801', '01121']
ROOM;['00280', '00387', '01084']
COLON;['00041', '00553', '00582']
CONVINCING;['00025', '00779']
HOMOZYGOUS;['00018', '00018', '00018', '00104', '00140', '00199', '00201', '00254', '00304', '00304', '00306', '00356', '00563', '00563', '00564', '00564', '00564', '00567', '00608', '00608', '00608', '00627', '00644', '00646', '00913', '00926', '00971', '01044', '01209', '01211', '01236']
BARBERO;['00233']
LABEL;['00561']
DOSES;['00061', '00238', '00296', '00296', '00320', '00320', '00458', '00458', '00459', '00459', '00508', '00556', '00676', '00676', '00678', '00679', '00679', '00679', '00680', '00680', '00686', '00688', '00693', '00767', '01003', '01021', '01078', '01081', '01101', '01143', '01143', '01143', '01218', '01227']
INTAKE;['00098', '00135', '00212', '00506', '00581', '00660', '00660', '00660', '00688', '00688', '00693', '01088', '01098', '01116']
OPENING;['00456', '00626']
HYPERSECRETORS;['00956', '00956']
INFLUENCED;['00538', '00563', '00748', '00755']
DESERVED;['01167']
DETRIMENTAL;['00025', '00135', '00347', '00542']
MISCELLANEOUS;['00008', '00008', '00014', '00505', '01234']
HOMOAND;['00393']
CONSULTANT;['01022', '01036']
RESPONSE;['00053', '00070', '00080', '00080', '00092', '00103', '00160', '00164', '00176', '00178', '00188', '00188', '00188', '00194', '00201', '00209', '00209', '00209', '00271', '00302', '00317', '00326', '00346', '00346', '00347', '00347', '00358', '00359', '00363', '00387', '00387', '00400', '00400', '00429', '00437', '00438', '00460', '00484', '00484', '00539', '00541', '00541', '00543', '00543', '00543', '00548', '00585', '00590', '00608', '00608', '00624', '00632', '00638', '00668', '00672', '00679', '00696', '00696', '00739', '00741', '00741', '00742', '00748', '00748', '00751', '00751', '00753', '00757', '00766', '00767', '00769', '00769', '00800', '00800', '00819', '00826', '00869', '00874', '00904', '00904', '00914', '00917', '00917', '00917', '00917', '00954', '00955', '00957', '00961', '00961', '00961', '00964', '00986', '00992', '00994', '00994', '01003', '01003', '01003', '01007', '01007', '01015', '01048', '01048', '01049', '01049', '01058', '01066', '01079', '01099', '01110', '01143', '01149', '01149', '01157', '01157', '01157', '01157', '01159', '01165', '01170', '01173', '01173', '01173', '01173', '01197', '01197', '01197', '01207', '01208', '01208', '01229']
FORMERS;['00454', '00454']
RRNA;['00138', '00143', '00143', '00143', '00143']
ILLHEALTH;['00761']
CHOLECYSTOKININ;['00955', '00955', '00955']
DIALYZABLE;['00535']
FLAREUP;['00804']
GRANDPARENTS;['00968']
INSPIRATION;['01046']
INCREASING;['00014', '00018', '00018', '00042', '00071', '00086', '00093', '00119', '00139', '00192', '00197', '00263', '00370', '00383', '00446', '00505', '00519', '00519', '00522', '00522', '00527', '00527', '00550', '00578', '00587', '00607', '00652', '00687', '00688', '00703', '00705', '00707', '00722', '00732', '00757', '00778', '00842', '00879', '00888', '00905', '00934', '00942', '00967', '01046', '01046', '01167', '01232']
NONFLUORESCENT;['01127']
UNDERWENT;['00050', '00183', '00317', '00422', '00804', '01119']
ROENTGENOGRAPHIC;['00364', '00364', '00558', '00597']
EVOLVED;['00490', '00681']
BROAD;['00180', '00516', '00532', '00559', '00650', '00722', '00768', '00822', '00944', '01083', '01087', '01192']
SEVER;['00643']
ANTISTAPHYLOCOCCAL;['00048', '00384', '00458', '00945']
OVERVENTILATED;['00885']
CHAINS;['00256', '00256', '00256', '00256', '00256', '00447', '00509', '00509', '00574', '00702', '00702', '00702']
STINGING;['01061']
MICROGALLBLADDER;['00364']
INVASION;['00282', '01102']
INCREASE;['00014', '00030', '00030', '00045', '00062', '00065', '00068', '00092', '00174', '00181', '00181', '00191', '00208', '00221', '00255', '00255', '00302', '00319', '00319', '00325', '00332', '00375', '00384', '00386', '00418', '00418', '00423', '00425', '00429', '00453', '00506', '00508', '00536', '00536', '00536', '00543', '00578', '00578', '00606', '00608', '00613', '00632', '00635', '00635', '00644', '00657', '00664', '00665', '00667', '00667', '00689', '00691', '00691', '00705', '00709', '00728', '00738', '00740', '00741', '00742', '00742', '00742', '00742', '00742', '00742', '00746', '00751', '00751', '00755', '00757', '00757', '00757', '00782', '00784', '00820', '00827', '00827', '00829', '00868', '00868', '00878', '00887', '00895', '00895', '00895', '00895', '00901', '00925', '00942', '00953', '00957', '00957', '00958', '00959', '00959', '00973', '00975', '00976', '00976', '00985', '00993', '01006', '01006', '01006', '01038', '01046', '01118', '01120', '01120', '01120', '01120', '01120', '01120', '01121', '01129', '01139', '01143', '01161', '01163', '01163', '01167', '01181', '01197', '01197', '01208', '01220', '01228']
INNERVATION;['00261']
UNSTANDARDIZED;['01052']
COLLECTIONS;['00721', '00811', '00825', '01105']
ELUCIDATION;['00215', '00431', '00875']
UNSOLVED;['00104']
ALLOWANCE;['00676']
PRECIPITATES;['00021', '00040', '00742']
MICRONS;['00275', '00275', '00275']
OPTIMUM;['00053', '00305', '00405', '00405', '00489', '00747', '01034', '01055', '01059', '01139', '01139', '01232']
REACHED;['00345', '00661', '00668', '00743', '00842', '01025', '01029', '01034', '01155']
MARINE;['00114', '00270']
VALIDATION;['00629']
MONONUCLEAR;['00397', '00961']
CHARTS;['00902', '00911']
GENECARRIERS;['00584', '00584']
RADIOLOGIC;['00415', '01097', '01195']
ACUTELY;['00882', '01006', '01051', '01051']
ANNOTATED;['01192']
CRICRI;['00745', '00745', '01204', '01204']
MALDIGESTION;['00301', '00875', '01131']
MARRIED;['00470', '00473', '00559']
CONDUCTION;['00250']
COLONISATION;['00102', '00922', '00922']
SYNTHESIZE;['00702', '01157']
ANIMALS;['00078', '00581', '00652', '00745', '00745', '00955', '00955', '00955', '00955', '01143', '01143', '01143', '01197', '01197', '01197', '01197', '01197', '01199', '01223', '01223']
SERA;['00001', '00001', '00007', '00007', '00018', '00018', '00018', '00048', '00051', '00051', '00051', '00055', '00059', '00059', '00059', '00059', '00085', '00102', '00107', '00122', '00122', '00122', '00122', '00150', '00178', '00178', '00178', '00178', '00178', '00201', '00214', '00214', '00214', '00219', '00222', '00245', '00245', '00245', '00245', '00245', '00245', '00245', '00277', '00281', '00302', '00306', '00306', '00306', '00306', '00306', '00306', '00306', '00306', '00307', '00307', '00346', '00367', '00367', '00367', '00400', '00401', '00401', '00402', '00406', '00406', '00407', '00407', '00407', '00407', '00408', '00408', '00408', '00408', '00415', '00415', '00415', '00430', '00462', '00484', '00484', '00532', '00564', '00564', '00572', '00572', '00572', '00573', '00573', '00573', '00573', '00573', '00574', '00589', '00589', '00589', '00589', '00589', '00591', '00591', '00631', '00631', '00635', '00646', '00689', '00726', '00726', '00726', '00726', '00726', '00726', '00726', '00726', '00738', '00738', '00738', '00738', '00738', '00738', '00739', '00740', '00741', '00741', '00744', '00744', '00746', '00746', '00748', '00749', '00749', '00749', '00749', '00749', '00749', '00749', '00749', '00749', '00758', '00758', '00778', '00890', '00890', '00890', '00903', '00918', '00918', '00918', '00949', '00957', '00957', '00957', '00983', '00983', '00986', '00986', '00989', '00989', '00989', '00989', '00989', '01074', '01074', '01074', '01076', '01076', '01200', '01200', '01200', '01200', '01200', '01202', '01202', '01202', '01204', '01208', '01208', '01208', '01209', '01210', '01210', '01210', '01210']
LIGATION;['00209', '01121', '01121']
MUSCULAR;['00030', '00030', '00030', '00100', '00296', '00664', '00664']
NEOPLASM;['00762']
SERIALLY;['00265']
STRABISMUS;['00296']
UNRUPTURED;['00801']
CONSUMED;['01101']
IGGASSOCIATED;['00748']
LESIONS;['00030', '00099', '00100', '00100', '00115', '00149', '00314', '00322', '00364', '00434', '00434', '00435', '00468', '00728', '00820', '00860', '00913', '00926', '01116', '01116', '01116', '01116', '01116', '01116', '01125', '01192', '01217', '01217']
GAMETIC;['00665']
LOCATED;['00436', '01157']
INCLINED;['00978']
PROPER;['00095', '00156', '00279', '00610', '00700', '01022', '01036', '01155']
CLOSELY;['00015', '00046', '00089', '00090', '00093', '00237', '00278', '00367', '00424', '00738', '00748', '00783', '00913', '00926', '00949', '00949', '01039', '01045', '01083', '01156', '01217']
CARFULLY;['00734']
GALACTOSYLTRANSFERASE;['00051', '00053', '01212']
CONSTANT;['00043', '00062', '00062', '00062', '00062', '00146', '00147', '00194', '00223', '00233', '00259', '00316', '00325', '00333', '00576', '00578', '00578', '00660', '00744', '00744', '00917', '00956', '01101', '01188', '01202']
MUCOVISCIDOSIS;['00056', '00162', '00162', '00162', '00162', '00162', '00224', '00224', '00224', '00226', '00342', '00343', '00356', '00627', '00677', '00677', '00677', '00677', '00677', '00677', '00677', '00677', '00719', '00720', '00776', '00909', '01011', '01028']
HYPERPNEA;['00606', '00606']
CONSTITUTES;['00578']
AIDING;['00552']
COMPARING;['00202', '00244', '00293', '00349', '00610', '00710', '01209', '01239']
HYPERGAMMAGLOBULINEMIC;['00784']
FLUORIDE;['00953']
BRANCHING;['00034']
TRANSLATION;['00215', '01204']
INSTRUMENTATION;['00425']
TREADMILL;['00358', '01007', '01007']
EMPHYSEMA;['00429', '00607', '00677', '00677', '00768']
POSTULATED;['00445', '00481', '00540', '00563', '00614', '00617', '00864', '00953', '01216']
ESTIMATING;['00216', '00868']
BLANKET;['00498', '00773', '01125', '01125']
CONSEQUENT;['00317', '00757', '00787', '01021']
SEGREGATION;['00236', '00569', '01096']
ANAPHYLATOXINS;['00122']
RECOVERED;['00050', '00271', '00447', '00460', '00536', '00696']
CATALYTIC;['00305', '00535', '00862', '00968']
JOINT;['00559', '00579', '01097', '01097']
CHOLESTATIC;['00174', '00423', '00900']
SALIVARY;['00002', '00002', '00002', '00032', '00077', '00077', '00077', '00077', '00077', '00077', '00137', '00150', '00150', '00150', '00189', '00281', '00309', '00311', '00345', '00345', '00356', '00367', '00367', '00367', '00367', '00367', '00462', '00462', '00462', '00505', '00515', '00515', '00584', '00584', '00602', '00602', '00615', '00633', '00635', '00635', '00635', '00635', '00645', '00645', '00673', '00724', '00733', '00742', '00852', '00955', '00956', '00956', '00956', '00956', '00956', '00956', '00959', '00959', '00959', '00959', '01121', '01121', '01121', '01197', '01199', '01199', '01199', '01206', '01206', '01206', '01206', '01223']
PEROXIDEINDUCED;['00676']
FATS;['00331']
RESTRICTION;['00034', '00089', '00153', '00550', '00684', '01033', '01116']
HYPOSMIC;['01191', '01191']
VARICES;['00333', '00422', '01184']
STRAIN;['00043', '00086', '00086', '00178', '00178', '00213', '00213', '00260', '00260', '00457', '00467', '00479', '00550', '00718', '00745', '00745', '00745', '00745', '00745', '00890', '01086', '01086', '01086', '01143', '01204']
THREAT;['00469', '00552', '00663']
RICKETTSIA;['00104', '00281']
SHAKEN;['00131']
MLMIN;['00246', '00680', '00680']
HORMONAL;['00436', '00515', '00601', '00791']
PURIFIED;['00023', '00023', '00108', '00122', '00139', '00257', '00374', '00405', '00521', '00521', '00530', '00532', '00533', '00565', '00572', '00640', '00675', '00693', '00702', '00748', '00748', '00749', '00856', '00856', '00857', '00857', '00890', '00890', '00950', '00955', '00955', '00955', '00961', '01027', '01056', '01222']
STRAINED;['00467']
RVOL;['01047', '01047']
TOOL;['00079', '00127', '00297', '00405', '00519', '00844', '00844', '00882', '01128', '01183', '01197']
BROADENING;['00034']
SEXUALITY;['00136', '00467']
SECURITY;['00359']
ESTERIFICATION;['01106']
GRAMNEGATIVE;['00061', '00110', '00135', '00148', '00164', '00164', '00270', '00270', '00800', '01065', '01065']
HALF;['00030', '00051', '00179', '00192', '00213', '00270', '00360', '00368', '00372', '00372', '00617', '00674', '00675', '00706', '00745', '00745', '00850', '00880', '00912', '00912', '00962', '01052', '01115', '01134', '01202', '01202']
DISCRIMINANT;['00952', '00952']
PREFERABLY;['00135']
PURE;['00276', '01221']
CRITICISM;['01220']
PRESONS;['00403']
PHOSPHOLIPASE;['00669', '00669', '00669']
SUPPORTS;['00148', '00216', '00381', '00697', '00711', '00754', '00901', '00936', '00944', '01057', '01135', '01169', '01171', '01171']
SURROUNDING;['00241', '01083']
REGISTER;['00342', '00968', '00968', '00968', '00968', '01078']
PANCREATICTYPE;['00405']
THEORIES;['00386', '00570']
RELATIONS;['00162', '00198']
PSYCHOLOGIC;['00180']
NEWFOUNDLAND;['00218']
PHAGOCYTIZE;['00018']
DEPOSITS;['00041', '00100', '00223', '00381', '00588', '00588', '00588', '00615', '01193', '01193']
EXERT;['00123', '00992']
TERMINOLOGY;['00299']
DEPARTMENTS;['00734', '00734', '00911', '01147']
WEISSENBERG;['00047', '00593']
ULTRASOUND;['00643']
OVERGROWTH;['01051', '01051', '01051']
ACHIEVED;['00061', '00089', '00185', '00277', '00397', '00439', '00462', '00533', '00556', '00678', '00688', '01032', '01034', '01071', '01104']
PHYSIOLOGIC;['00050', '00215', '00224', '00398', '00531', '00531', '00742', '00748', '00821', '01041', '01153', '01200', '01218', '01235']
EDEMAANEMIAHYPOPROTEINEMIA;['00098', '00098']
PHYSIOLOGICAL;['00122', '00279', '00386', '00423', '00430', '00484', '00496', '00578', '00578', '00578', '00612', '00881', '00892', '00892', '00921', '00980']
MAMMALIAN;['00495', '00535', '00950']
HIGHFREQUENCY;['00753']
DELICATE;['01125']
NONBIOLOGIC;['00746']
GRANULAR;['00588', '00742']
VAGUE;['00182']
CONNECTED;['00052', '00109', '00335', '00442']
PREDICTION;['01001', '01195']
GREATEST;['00394', '00546', '00812', '00812', '00813', '01079']
HYPOTHESISE;['01185']
VENTILATIONS;['00885']
PRESERVED;['00201', '00533', '00585', '00688']
COMMERCIAL;['00403', '01138']
GEOMETRIC;['01124']
BMMEC;['01176']
REPRESENTATIVE;['00075', '00484', '00567', '00726']
VASCULAR;['00100', '00100', '01004']
PSAE;['01227', '01227', '01227', '01227']
CAROTID;['00667', '00667', '00667', '00667', '00667', '00667', '00667', '00667', '00667', '00667']
EMIGRATED;['00276']
VALIDATED;['00239', '00616', '00627', '01041']
INJURY;['00200', '00421', '00506', '00701']
PRESERVATION;['00842', '00913', '00985']
PIGMENT;['00030', '00935', '00935']
BILIOUS;['00037']
ISOVOLUME;['00024']
ILLUSTRATING;['00547', '01087']
SPLANCHNOPLEUR;['00263']
RESPIRATORYTRACT;['00761', '00761', '00761', '00761']
SURVIVE;['00183', '00354', '00392', '00473', '00607', '00617', '00703', '00764', '00765', '00765', '01118']
LEAKY;['00622', '01072', '01160', '01160', '01160']
SPECTRA;['00126', '00675']
PROLINERICH;['00520']
PROTEINCALORIE;['00101']
MIRABILIS;['01077']
SUBMUCOSAL;['00137', '00498', '01125']
BZTY;['00899']
HEPATIS;['00385', '01235']
APPLY;['00216', '00297', '00491', '01034', '01140', '01204']
BAGHDAD;['00704']
ANALYSES;['00131', '00165', '00268', '00313', '00321', '00403', '00531', '00667', '00749', '00758']
POLYVIRUS;['00761']
CATABOLIC;['00516']
CONSIDERS;['00157', '00397']
DISORDERS;['00014', '00014', '00014', '00014', '00014', '00014', '00014', '00014', '00014', '00014', '00014', '00014', '00014', '00046', '00046', '00046', '00056', '00072', '00072', '00076', '00076', '00100', '00117', '00120', '00120', '00133', '00153', '00197', '00215', '00215', '00215', '00215', '00237', '00237', '00247', '00264', '00360', '00360', '00360', '00360', '00360', '00403', '00403', '00421', '00428', '00450', '00490', '00634', '00731', '00779', '00779', '00821', '00852', '00863', '00896', '00927', '00935', '00935', '00945', '00978', '00990', '00994', '01001', '01031', '01075', '01075', '01079', '01116', '01132', '01194', '01194', '01194']
CARBOHYDRASE;['00535']
LACTATE;['00525']
COMPLETED;['00136', '00460', '00848', '01084', '01115', '01152']
PLUGGING;['00331', '00429']
DYSPLASIA;['00768', '00990', '01218']
RETROPERITONEAL;['01235']
TREATMENT;['00014', '00019', '00025', '00037', '00043', '00048', '00057', '00061', '00084', '00088', '00089', '00089', '00089', '00089', '00090', '00095', '00101', '00102', '00118', '00135', '00153', '00159', '00179', '00186', '00193', '00193', '00200', '00200', '00203', '00213', '00225', '00227', '00238', '00238', '00241', '00242', '00244', '00244', '00250', '00282', '00295', '00295', '00295', '00296', '00306', '00315', '00320', '00323', '00326', '00326', '00330', '00332', '00332', '00333', '00334', '00335', '00337', '00359', '00359', '00359', '00359', '00359', '00359', '00370', '00370', '00370', '00389', '00389', '00389', '00392', '00394', '00396', '00397', '00422', '00428', '00442', '00449', '00452', '00452', '00458', '00459', '00460', '00460', '00460', '00473', '00487', '00489', '00502', '00510', '00513', '00517', '00517', '00542', '00542', '00542', '00546', '00552', '00564', '00592', '00596', '00599', '00599', '00601', '00603', '00607', '00607', '00615', '00641', '00648', '00648', '00650', '00659', '00662', '00662', '00663', '00676', '00680', '00682', '00684', '00696', '00696', '00725', '00727', '00730', '00733', '00742', '00742', '00742', '00742', '00749', '00749', '00750', '00751', '00774', '00775', '00782', '00791', '00791', '00791', '00791', '00800', '00800', '00804', '00806', '00813', '00813', '00813', '00816', '00818', '00823', '00823', '00823', '00826', '00837', '00837', '00837', '00838', '00845', '00847', '00847', '00847', '00849', '00879', '00882', '00883', '00883', '00912', '00917', '00922', '00940', '00942', '00944', '00945', '01011', '01012', '01032', '01035', '01035', '01036', '01037', '01053', '01066', '01067', '01071', '01078', '01078', '01078', '01081', '01081', '01081', '01087', '01087', '01087', '01090', '01090', '01091', '01093', '01093', '01103', '01105', '01112', '01149', '01151', '01151', '01151', '01151', '01177', '01180', '01180', '01195', '01197', '01197', '01226', '01226', '01234', '01234', '01234']
GENOTYPES;['00203', '00214', '00304', '00444', '00444', '00444', '00453', '00453', '00453', '00453', '00560', '00563', '00565', '00567', '00567', '00567', '00567', '00567', '00570', '00570', '00570', '00576', '00745', '00745', '00745', '00746', '00746', '00750', '00750', '00786', '00892', '00953', '00977', '01031', '01160', '01209', '01222', '01222']
NUMBER;['00001', '00001', '00001', '00006', '00006', '00006', '00007', '00007', '00007', '00014', '00014', '00014', '00014', '00014', '00014', '00049', '00049', '00055', '00064', '00067', '00073', '00073', '00088', '00095', '00123', '00124', '00124', '00130', '00139', '00147', '00197', '00216', '00233', '00244', '00258', '00258', '00289', '00289', '00291', '00301', '00301', '00308', '00333', '00334', '00360', '00369', '00401', '00412', '00414', '00428', '00445', '00446', '00475', '00482', '00482', '00487', '00504', '00515', '00544', '00565', '00607', '00607', '00615', '00617', '00631', '00631', '00632', '00633', '00651', '00654', '00670', '00674', '00687', '00705', '00706', '00719', '00722', '00740', '00743', '00745', '00746', '00774', '00778', '00778', '00778', '00811', '00811', '00811', '00812', '00812', '00860', '00860', '00862', '00866', '00877', '00942', '00957', '00967', '00968', '00968', '00968', '00968', '00983', '00989', '00995', '01008', '01029', '01030', '01076', '01083', '01099', '01103', '01121', '01121', '01138', '01145', '01173', '01181', '01195', '01195']
EXCLUDES;['00071', '00172']
IMPLEMENTED;['00334']
PATHOGENETIC;['00545', '00925', '01185', '01197']
DIPHENYLHEXATRIENE;['01030']
AVICTORIA;['00679']
CALCULUS;['00454', '00454', '00673']
PARENTAGE;['00514']
SIZE;['00086', '00086', '00086', '00087', '00123', '00256', '00256', '00660', '00667', '00748', '00816', '00848', '00850', '00957', '00996', '01064', '01096', '01162', '01201']
SHOULDER;['00801']
INDICATIVE;['00748', '01184']
PREDILECTION;['00260']
CLARIFICATION;['00440', '00897']
UNDERDEVELOPED;['00247']
LYSOMAL;['00622', '00622']
DESCRIBING;['00439', '00949']
BRONCHODILATOR;['00206', '00543', '00546', '00546', '01046', '01149', '01149', '01149']
EXPLAIN;['00209', '00218', '00244', '00305', '00401', '00437', '00470', '00484', '00503', '00503', '00613', '00739', '00923', '00938', '00967', '01046', '01048', '01146', '01157', '01217']
BENIGN;['00540', '00601', '00796']
POLYPS;['00029', '00041', '00041', '00250', '00250', '00250', '00322', '00333', '00398', '00435', '00683', '00683', '00683', '00683', '00683', '00683', '00732', '00733', '00771', '00771', '00771', '00771', '00771', '00771', '00771', '00982', '00982', '01125', '01125', '01125', '01125']
INTRODUCED;['00104', '00326', '00774', '00922', '01022', '01036', '01208']
NONPROTECTIVE;['00860']
THRESHOLDS;['01191']
INTERACTION;['00176', '00373', '00431', '00760', '00828', '00936', '00953', '01004', '01202']
CONJUGATE;['01016']
IDIOPATHIC;['00134', '00545', '00902']
CAMBRIDGE;['00795']
NONINVASIVE;['00144', '00502', '00515', '00754', '00815', '01041', '01043']
NONRENAL;['01021']
